Topic,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Answer,Explanation
Conjunctive Adverbs,"Which word shows contrast?","A. However","B. Also","C. Therefore","D. Then","A","'However' shows contrast."
Conjunctive Adverbs,"Which word shows result?","A. Meanwhile","B. Therefore","C. Instead","D. Next","B","'Therefore' shows cause and effect."
Conjunctive Adverbs,"Which word shows addition?","A. However","B. Also","C. Otherwise","D. Finally","B","'Also' adds information."
Conjunctive Adverbs,"Which word shows time sequence?","A. Nevertheless","B. Next","C. Thus","D. Consequently","B","'Next' shows order."
Conjunctive Adverbs,"Which word shows emphasis?","A. Indeed","B. Otherwise","C. Then","D. Yet","A","'Indeed' emphasizes a point."

Parts of a Plot,"What comes first in a plot?","A. Climax","B. Exposition","C. Resolution","D. Falling Action","B","Exposition introduces the story."
Parts of a Plot,"What follows rising action?","A. Exposition","B. Climax","C. Resolution","D. Theme","B","Climax comes after rising tension."
Parts of a Plot,"What comes after climax?","A. Falling Action","B. Exposition","C. Conflict","D. Theme","A","Falling action shows consequences."
Parts of a Plot,"What ends the story?","A. Exposition","B. Resolution","C. Climax","C. Rising Action","B","Resolution ends the conflict."
Parts of a Plot,"What builds tension?","A. Exposition","B. Rising Action","C. Resolution","D. Theme","B","Rising action builds suspense."

Verbals and Verbal Phrases,"What is a verb acting as a noun?","A. Gerund","B. Infinitive","C. Participle","D. Adverb","A","Gerunds end in -ing and function as nouns."
Verbals and Verbal Phrases,"Which begins with 'to' + verb?","A. Gerund","B. Infinitive","C. Participle","D. Clause","B","Infinitives use 'to + verb'."
Verbals and Verbal Phrases,"What is a verb acting as an adjective?","A. Gerund","B. Infinitive","C. Participle","D. Noun","C","Participles describe nouns."
Verbals and Verbal Phrases,"Which phrase is a gerund?","A. To run","B. Running fast","C. Run quickly","D. Ran away","B","Gerund acts as a noun phrase."
Verbals and Verbal Phrases,"Which is an infinitive phrase?","A. To swim in the ocean","B. Swimming pool","C. Swam yesterday","D. Swims daily","A","Infinitives start with 'to'."

Modifiers,"Which is a misplaced modifier?","A. Running quickly, she won the race.","B. She running quickly won race.","C. Quickly she ran the race.","D. She won the race quickly.","B","Misplaced structure creates confusion."
Modifiers,"What does a modifier do?","A. Replaces noun","B. Describes another word","C. Ends sentence","D. Starts paragraph","B","Modifiers add description."
Modifiers,"Which is correct?","A. The almost car crashed","B. The car almost crashed","C. Almost the car crashed","D. Car the almost crashed","B","Correct placement avoids confusion."
Modifiers,"Which sentence is clear?","A. Walking home, the rain started.","B. Walking home, I saw rain start.","C. Walking, rain home started.","D. Rain walking home started.","B","Subject correctly attached."
Modifiers,"What is a dangling modifier?","A. Clear description","B. Missing subject","C. Proper sentence","D. Verb phrase","B","Dangling modifiers lack a clear subject."
