Topic,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Answer,Explanation
Molecular Orbital Theory,Higher bond order means?,A. Stronger bond,B. Weaker bond,C. No bond,D. Larger atom,A,Stronger bonds occur with higher bond order.
Valence Bond Theory,Valence bond theory explains bonds using?,A. Ion transfer,B. Proton exchange,C. Atomic mass,D. Orbital overlap,D,Bonds form from orbital overlap.
Valence Bond Theory,End to end overlap forms?,A. Sigma bond,B. Pi bond,C. Ionic bond,D. Metallic bond,A,Sigma bonds form from direct overlap.
Valence Bond Theory,Sideways overlap forms?,A. Pi bond,B. Sigma bond,C. Ionic bond,D. Metallic bond,A,Pi bonds form sideways.
Valence Bond Theory,Double bonds contain how many sigma bonds?,A. 1,B. 2,C. 3,D. 0,A,One sigma bond exists in double bonds.
Valence Bond Theory,Triple bonds contain how many pi bonds?,A. 1,B. 2,C. 3,D. 4,B,Triple bonds contain two pi bonds.
Lewis Structures,Which rule gives atoms 8 valence electrons?,A. Hund rule,B. Pauli principle,C. Octet rule,D. Aufbau rule,C,Atoms gain stability with eight electrons.
Lewis Structures,What do dots represent?,A. Protons,B. Neutrons,C. Valence electrons,D. Nucleus,C,Dots represent valence electrons.
Lewis Structures,What does a line represent?,A. Shared electron pair,B. Proton pair,C. Neutron pair,D. Ionic charge,A,A line shows a covalent bond.
Lewis Structures,Which element commonly breaks octet rule?,A. Hydrogen,B. Carbon,C. Oxygen,D. Nitrogen,A,Hydrogen only needs two electrons.
Lewis Structures,Formal charge helps determine?,A. Reaction speed,B. Most stable structure,C. Atomic mass,D. Bond energy,B,Lowest formal charges indicate stability.
Resonance,What occurs when multiple Lewis structures exist?,A. Resonance,B. Hybridization,C. Dissociation,D. Ionization,A,Electrons are delocalized.
Resonance,Resonance structures differ in?,A. Electron placement,B. Atom positions,C. Temperature,D. Mass,A,Atoms remain fixed.
Resonance,Resonance increases?,A. Stability,B. Temperature,C. Mass,D. Density,A,Electron delocalization stabilizes molecules.
Resonance,Which ion shows resonance?,A. Nitrate,B. Sodium,C. Calcium,D. Potassium,A,Nitrate ion has multiple structures.
Resonance,Real molecule is what?,A. Single structure,B. Hybrid structure,C. Separate molecules,D. Reaction step,B,Actual molecule is a resonance hybrid.
VSEPR Theory,VSEPR predicts?,A. Atomic mass,B. Reaction time,C. Energy levels,D. Molecular shape,D,Electron pair repulsion determines shape.
VSEPR Theory,VSEPR stands for?,A. Valence Shell Electron Pair Repulsion,B. Variable Shell Electron Reaction,C. Valence Structure Energy Potential,D. Valence Shell Energy Pair Rule,A,It describes electron repulsion.
VSEPR Theory,Why do electron pairs repel?,A. Charge,B. Mass,C. Volume,D. Density,A,Electrons repel due to negative charge.
VSEPR Theory,Two bonding pairs form what shape?,A. Linear,B. Bent,C. Tetrahedral,D. Trigonal planar,A,Two electron groups form 180° shape.
VSEPR Theory,How many groups form tetrahedral?,A. 2,B. 3,C. 4,D. 6,C,Four electron groups form tetrahedral geometry.
Polarity,Molecular polarity depends on?,A. Shape and electronegativity,B. Atomic mass only,C. Valence electrons only,D. Temperature,A,Both factors determine polarity.
Polarity,Equal electron sharing forms?,A. Polar bond,B. Nonpolar bond,C. Ionic bond,D. Metallic bond,B,Equal sharing creates nonpolar bonds.
Polarity,Which molecule is polar?,A. H2,B. O2,C. H2O,D. N2,C,Water has bent shape causing polarity.
Polarity,Uneven charge distribution forms?,A. Polar molecule,B. Neutral atom,C. Metallic solid,D. Ionic crystal,A,Polar molecules have partial charges.
Polarity,What determines bond polarity?,A. Electronegativity difference,B. Mass difference,C. Temperature difference,D. Pressure difference,A,Greater difference means more polarity.
Intermolecular Forces,Strongest common intermolecular force?,A. London dispersion,B. Dipole dipole,C. Hydrogen bonding,D. Ion dipole,C,Hydrogen bonding is strongest among common IMFs.
Intermolecular Forces,Which force occurs in all molecules?,A. London dispersion,B. Hydrogen bonding,C. Dipole force,D. Ionic bonding,A,Dispersion forces exist in all atoms and molecules.
Intermolecular Forces,Dipole dipole occurs between?,A. Polar molecules,B. Nonpolar molecules,C. Ions,D. Metals,A,Polar molecules attract each other.
Intermolecular Forces,Hydrogen bonding occurs with?,A. N O F atoms,B. Na K Ca atoms,C. Cl Br I atoms,D. Fe Cu Zn atoms,A,Hydrogen bonds with highly electronegative atoms.
Intermolecular Forces,Stronger intermolecular forces cause?,A. Lower boiling point,B. Higher boiling point,C. Lower mass,D. Faster reaction,B,More energy is needed to separate molecules.

