African Civilization,"What resource helped African trade?","A. Gold and salt","B. Oil only","C. Steel only","D. Plastic","A","Gold and salt were key trade goods"
African Civilization,"Who led the Mali Empire?","A. Mansa Musa","B. Alexander the Great","C. Julius Caesar","D. Confucius","A","Mansa Musa was a famous ruler"
African Civilization,"African civilizations were mainly near?","A. Deserts and rivers","B. Mountains only","C. Ice regions","D. Space","A","Many developed near rivers like Niger"

Dharmic Religions,"Which is a Dharmic religion?","A. Christianity","B. Islam","C. Hinduism","D. Judaism","C","Hinduism is Dharmic"
Dharmic Religions,"Where did Dharmic religions originate?","A. Europe","B. Africa","C. South Asia","D. America","C","They originated in South Asia"
Dharmic Religions,"Which is another Dharmic religion?","A. Hinduism and Buddhism","B. Islam and Christianity","C. Judaism and Islam","D. Only Christianity","A","Both Hinduism and Buddhism are Dharmic"
Dharmic Religions,"Main belief in Dharmic religions?","A. One god only","B. Reincarnation and karma","C. No belief","D. Science only","B","They believe in karma and rebirth"
Dharmic Religions,"Dharma means?","A. War","B. Righteous duty","C. Money","D. Trade","B","Dharma means moral duty"

Abrahamic Religions,"Which is Abrahamic?","A. Hinduism","B. Islam","C. Buddhism","D. Shinto","B","Islam is Abrahamic"
Abrahamic Religions,"Origin of Abrahamic religions?","A. South Asia","B. Middle East","C. Europe","D. Africa","B","They originated in the Middle East"
Abrahamic Religions,"Which is NOT Abrahamic?","A. Christianity","B. Islam","C. Judaism","D. Hinduism","D","Hinduism is Dharmic"
Abrahamic Religions,"Common belief?","A. Many gods","B. One God","C. No God","D. Nature worship","B","They are monotheistic"
Abrahamic Religions,"Sacred texts include?","A. Bible and Quran","B. Only science books","C. Maps","D. Poems","A","They use holy scriptures"

Empire Building in East Asia,"Major East Asian empire?","A. China","B. Italy","C. Greece","D. Egypt","A","China had early dynasties"
Empire Building in East Asia,"Chinese rulers were called?","A. Pharaohs","B. Emperors","C. Kings only","D. Chiefs","B","They were emperors"
Empire Building in East Asia,"What helped empire growth?","A. Isolation only","B. Strong government","C. No laws","D. No trade","B","Strong centralized rule"
Empire Building in East Asia,"Important invention?","A. Printing press","B. Wheel only","C. Steam engine","D. Internet","A","China invented early printing"
Empire Building in East Asia,"Trade route used?","A. Silk Road","B. Ocean Road","C. Space Road","D. Ice Road","A","Silk Road connected Asia"

Muslim Empires,"Which is Muslim empire?","A. Ottoman","B. Roman","C. Greek","D. Viking","A","Ottoman Empire was Islamic"
Muslim Empires,"Where did it expand?","A. Europe","B. Middle East and Europe","C. Only Africa","D. Only Asia","B","It expanded widely"
Muslim Empires,"Capital of Ottoman Empire?","A. Istanbul","B. Paris","C. Rome","D. Cairo","A","Formerly Constantinople"
Muslim Empires,"Religion of empire?","A. Christianity","B. Islam","C. Hinduism","D. Buddhism","B","It was Islamic"
Muslim Empires,"What helped growth?","A. Trade and military","B. Only farming","C. Isolation","D. No government","A","Trade and military power"

Byzantine Empires,"Capital of Byzantine Empire?","A. Rome","B. Constantinople","C. Athens","D. Cairo","B","Constantinople was capital"
Byzantine Empires,"Byzantine Empire was part of?","A. Roman Empire","B. Greek Empire","C. Ottoman Empire","D. Chinese Empire","A","It was Eastern Roman Empire"
Byzantine Empires,"Religion?","A. Islam","B. Hinduism","C. Christianity","D. Buddhism","C","It was Christian empire"
Byzantine Empires,"Important structure?","A. Hagia Sophia","B. Colosseum","C. Pyramids","D. Great Wall","A","Byzantine architecture"
Byzantine Empires,"Empire lasted until?","A. Fall of Rome","B. 1453","C. 1000 BC","D. 2000 AD","B","Fell in 1453"

Southeast Asia,"Which is Southeast Asia?","A. Philippines","B. Germany","C. France","D. Canada","A","Philippines is in SE Asia"
Southeast Asia,"Climate is?","A. Cold","B. Temperate","C. Tropical","D. Arctic","C","Mostly tropical climate"
Southeast Asia,"Important resource?","A. Oil and spices","B. Ice","C. Steel only","D. Gold only","A","Spices were important"
Southeast Asia,"Religion influence?","A. None","B. Islam","C. Christianity","D. Hinduism","B","Multiple religions exist"
Southeast Asia,"Geography includes?","A. Deserts only","B. Islands and seas","C. Mountains only","D. Ice","B","Many islands and seas"

Feudalism and Manorialism,"Feudalism is based on?","A. Land and loyalty","B. Money only","C. Technology","D. Space","A","Land-based system"
Feudalism and Manorialism,"Who is at top?","A. King","B. Peasants","C. Knights","D. Slaves","A","King ruled system"
Feudalism and Manorialism,"Manorialism involves?","A. Factories","B. Estates","C. Space travel","D. Trade routes","B","Manors were estates"
Feudalism and Manorialism,"Who works land?","A. Peasants","B. Kings","C. Knights only","D. Nobles only","A","Peasants farmed land"
Feudalism and Manorialism,"System was?","A. Modern","B. Hierarchical","C. Equal","D. Random","B","Structured social hierarchy"

The Renaissance,"Meaning of Renaissance?","A. Rebirth","B. War","C. Death","D. Trade","A","Rebirth of learning"
The Renaissance,"Started in?","A. Africa","B. Europe","C. Asia","D. America","B","Started in Europe"
The Renaissance,"Focus on?","A. Science and art","B. War only","C. Trade only","D. Religion only","A","Human creativity"
The Renaissance,"Important idea?","A. Humanism","B. Isolation","C. Feudalism","D. Slavery","A","Focus on humans"
The Renaissance,"Art improved due to?","A. Ignorance","B. Innovation","C. War","D. Trade","B","Art and science grew"

Protestant and Counter Reformation,"Cause of Reformation?","A. Church corruption","B. Space discovery","C. Trade routes","D. Weather","A","Church issues"
Protestant and Counter Reformation,"Leader?","A. Martin Luther","B. Newton","C. Darwin","D. Galileo","A","Started reform movement"
Protestant and Counter Reformation,"Result?","A. Church split","B. Unification","C. No change","D. War only","A","Christianity divided"
Protestant and Counter Reformation,"Counter Reformation was?","A. Support reform","B. Oppose reform","C. No change","D. Trade movement","B","Catholic response"
Protestant and Counter Reformation,"Focus?","A. Religious reform","B. Science only","C. Art only","D. Politics only","A","Religious change"

Maritime Revolution,"Main improvement?","A. Sea travel","B. Air travel","C. Space travel","D. Land travel","A","Navigation improved"
Maritime Revolution,"Important tool?","A. Compass","B. Phone","C. Car","D. Computer","A","Used for navigation"
Maritime Revolution,"Result?","A. Global trade","B. No trade","C. Isolation","D. War only","A","Connected world"
Maritime Revolution,"Who explored?","A. Explorers","B. Scientists only","C. Farmers only","D. Teachers","A","European explorers"
Maritime Revolution,"Impact?","A. Cultural exchange","B. No change","C. Decline","D. Isolation","A","Connected societies"

Exchange Trade and Slavery,"What was traded?","A. Goods and people","B. Only ideas","C. Only money","D. Only books","A","Trade included goods and enslaved people"
Exchange Trade and Slavery,"Main system?","A. Triangular trade","B. Space trade","C. Digital trade","D. Local trade","A","Atlantic trade system"
Exchange Trade and Slavery,"Who was involved?","A. Europe","B. Africa","C. Americas","D. All of the above","D","Global system"
Exchange Trade and Slavery,"What was transported?","A. Enslaved people","B. Computers","C. Cars","D. Books","A","Human forced migration"
Exchange Trade and Slavery,"Impact?","A. Economic growth","B. Safety","C. Isolation","D. No change","A","Boosted global economy"
