Topic,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Answer,Explanation
Volcanism,"Viscosity means?","A. Temperature","B. Thickness","C. Color","D. Weight","B","Viscosity is resistance to flow"
Volcanism,"Bowl-shaped intrusion?","A. Lopolith","B. Batholith","C. Stock","D. Sill","A","Lopolith is basin-shaped"
Volcanism,"Temperature effect on lava?","A. Hot = thick","B. Hot = fluid","C. No effect","D. Always solid","B","Heat increases fluidity"

Formation of the Philippines,"Oblique convergence causes?","A. Tensional","B. Compressional","C. Tensional and shear","D. Compressional and shear","D","Angle creates both stress types"
Formation of the Philippines,"Longest feature?","A. Manila Trench","B. Philippine Trench","C. Sulu Trench","D. Fault Zone","B","Philippine Trench is longest"
Formation of the Philippines,"Not part of group?","A. Manila Trench","B. Negros Trench","C. Philippine Trench","D. Sulu Trench","C","Different classification"
Formation of the Philippines,"Deformed zone is?","A. Mariana Trench","B. Philippine Mobile Belt","C. Volcano","D. Ridge","B","Mobile Belt spans region"
Formation of the Philippines,"Oldest rocks found in?","A. Mindoro-Palawan Block","B. Luzon","C. Mindanao","D. Cebu","A","Old continental fragment"

Weathering and Erosion,"External Sun-driven processes are?","A. Exogenic","B. Endogenic","C. Magmatic","D. Tectonic","A","Exogenic means external"
Agents of Weathering,"Ice expanding in cracks is?","A. Weathering","B. Erosion","C. Deposition","D. Transport","A","Freeze-thaw breaks rock"
Agents of Weathering,"Breakdown without movement is?","A. Weathering","B. Erosion","C. Transport","D. Deposition","A","Weathering stays in place"
Agents of Weathering,"Movement of sediments is?","A. Weathering","B. Erosion","C. Compaction","D. Cementation","B","Erosion transports materials"
Types of Weathering,"Chemical breakdown is?","A. Mechanical","B. Chemical","C. Biological","D. Physical","B","Changes composition"
Types of Weathering,"Breaking by force is?","A. Mechanical","B. Chemical","C. Biological","D. Nuclear","A","Physical breakdown"

Distribution of Water,"Most water on Earth is?","A. Oceans","B. Rivers","C. Lakes","D. Ice","A","Oceans contain most water"
Distribution of Water,"Freshwater source?","A. Ocean","B. Groundwater","C. Sea","D. Salt lake","B","Groundwater is freshwater"
Distribution of Water,"Smallest reservoir?","A. Oceans","B. Ice","C. Atmosphere","D. Rivers","C","Atmosphere has least water"
Distribution of Water,"Most freshwater stored in?","A. Rivers","B. Ice caps","C. Oceans","D. Clouds","B","Ice stores most freshwater"
Distribution of Water,"Humans mainly use?","A. Saltwater","B. Freshwater","C. Ocean water","D. Steam","B","Freshwater is usable"

Unique Properties of Water,"High surface tension due to?","A. Hydrogen bonds","B. Gravity","C. Salt","D. Heat","A","Hydrogen bonding"
Unique Properties of Water,"Universal solvent means?","A. Dissolves many substances","B. Freezes easily","C. Is heavy","D. Is solid","A","Water dissolves many substances"
Unique Properties of Water,"Ice floats because?","A. More dense","B. Less dense","C. Heavier","D. Hotter","B","Ice is less dense"
Unique Properties of Water,"High boiling point due to?","A. Weak bonds","B. Hydrogen bonds","C. No bonds","D. Air pressure","B","Strong bonding"
Unique Properties of Water,"Capillary action is?","A. Boiling","B. Rising in tubes","C. Freezing","D. Evaporation","B","Water rises in narrow spaces"

Water Quality,"Safe water is?","A. Clean","B. Dirty","C. Contaminated","D. Colored","A","Safe water is clean"
Water Quality,"Pollution is caused by?","A. Waste","B. Rain","C. Oxygen","D. Sunlight","A","Waste causes pollution"
Water Quality,"Safe pH is?","A. Neutral","B. Acidic","C. Basic","D. Extreme","A","Near pH 7 is safe"
Water Quality,"Filtration removes?","A. Solids","B. Gases","C. Light","D. Heat","A","Removes particles"
Water Quality,"Water treatment purpose?","A. Clean water","B. Dirty water","C. Add toxins","D. Color water","A","Makes water safe"

Water Cycle,"First stage?","A. Evaporation","B. Freezing","C. Melting","D. Crushing","A","Evaporation starts cycle"
Water Cycle,"Cloud formation is?","A. Condensation","B. Evaporation","C. Precipitation","D. Runoff","A","Water vapor forms clouds"
Water Cycle,"Rain is?","A. Precipitation","B. Evaporation","C. Condensation","D. Transpiration","A","Rain falls from clouds"
Water Cycle,"Water returns via?","A. Runoff","B. Evaporation","C. Heating","D. Freezing","A","Water flows back"
Water Cycle,"Plants release water via?","A. Transpiration","B. Evaporation","C. Condensation","D. Precipitation","A","Plants release vapor"

Motions of the Ocean,"Wind creates?","A. Waves","B. Tides","C. Currents","D. Plates","A","Wind makes waves"
Motions of the Ocean,"Tides caused by?","A. Moon","B. Sun only","C. Wind","D. Rain","A","Moon gravity"
Motions of the Ocean,"Ocean currents are?","A. Still water","B. Moving water","C. Ice","D. Rocks","B","Currents flow"
Motions of the Ocean,"Deep currents driven by?","A. Density","B. Wind","C. Rain","D. Light","A","Temperature and salinity"
Motions of the Ocean,"Surface currents affected by?","A. Wind","B. Rocks","C. Soil","D. Lava","A","Wind drives them"

Composition and Structure of the Atmosphere,"Oxygen percentage?","A. 78%","B. 1%","C. 0.04%","D. 21%","D","Oxygen is 21%"
Composition and Structure of the Atmosphere,"Most gas?","A. Oxygen","B. Nitrogen","C. CO2","D. Hydrogen","B","Nitrogen dominates"
Composition and Structure of the Atmosphere,"Weather occurs in?","A. Troposphere","B. Stratosphere","C. Mesosphere","D. Core","A","Lowest layer"
Composition and Structure of the Atmosphere,"Ozone layer is in?","A. Troposphere","B. Stratosphere","C. Mesosphere","D. Core","B","Protects Earth"
Composition and Structure of the Atmosphere,"Greenhouse gas?","A. Oxygen","B. Nitrogen","C. CO2","D. Helium","C","CO2 traps heat"

Elements of Weather,"Temperature is?","A. Weather element","B. Rock type","C. Ocean","D. Soil","A","Weather element"
Elements of Weather,"Humidity is?","A. Air moisture","B. Wind speed","C. Pressure","D. Heat","A","Water vapor in air"
Elements of Weather,"Wind is caused by?","A. Pressure difference","B. Rocks","C. Light","D. Soil","A","Air movement"
Elements of Weather,"Precipitation includes?","A. Rain","B. Rocks","C. Fire","D. Dust","A","Rain is precipitation"
Elements of Weather,"Air pressure is?","A. Weight of air","B. Temperature","C. Wind","D. Clouds","A","Air has weight"

Weather Systems,"Typhoon is?","A. Storm","B. Volcano","C. Earthquake","D. River","A","Strong storm"
Weather Systems,"Low pressure brings?","A. Rain","B. Clear skies","C. Drought","D. Snow only","A","Stormy weather"
Weather Systems,"High pressure causes?","A. Rain","B. Clear weather","C. Floods","D. Winds only","B","Fair weather"
Weather Systems,"Front is?","A. Air boundary","B. Ocean","C. Mountain","D. Cloud only","A","Air mass boundary"
Weather Systems,"Driven by?","A. Sun energy","B. Rocks","C. Soil","D. Core","A","Sun drives weather"

Extreme Weather Events,"Typhoon is?","A. Tropical cyclone","B. Volcano","C. Earthquake","D. Mountain","A","Strong storm system"
Extreme Weather Events,"Flood is caused by?","A. Heavy rain","B. Wind only","C. Heat","D. Light","A","Excess rain"
Extreme Weather Events,"Drought is?","A. Too much rain","B. No rain","C. Storm","D. Flood","B","Long dry period"
Extreme Weather Events,"Landslide is caused by?","A. Gravity and rain","B. Wind only","C. Fire","D. Ice only","A","Slope collapse"
Extreme Weather Events,"Storm surge is?","A. Sea rise from storm","B. Wind only","C. Rain only","D. Earthquake","A","Ocean pushed inland"
